County,Year,Population,Household Income,Area (sq mi),Density
San Luis Obispo,2023,281776.0,95023.0,3304.32,85.27503389502228
San Mateo,2018,765935.0,113776.0,449.07,1705.6026900037857
San Mateo,2019,767423.0,122641.0,449.07,1708.916204600619
San Mateo,2020,765623.0,128091.0,449.07,1704.907920814127
San Mateo,2021,762488.0,136837.0,449.07,1697.9268265526532
San Mateo,2022,754250.0,149907.0,449.07,1679.5822477564745
San Mateo,2023,751329.0,158940.0,449.07,1673.0776939007283
Santa Barbara,2018,443738.0,71657.0,2737.01,162.1250927106587
Santa Barbara,2019,444829.0,74624.0,2737.01,162.523702872843
Santa Barbara,2020,444895.0,78925.0,2737.01,162.54781677816302
Santa Barbara,2021,447651.0,84356.0,2737.01,163.55475500637556
Santa Barbara,2022,445213.0,92332.0,2737.01,162.6640019583414
Santa Barbara,2023,445582.0,97501.0,2737.01,162.79882061081253
Santa Clara,2018,1922200.0,116178.0,1290.69,1489.280927255964
Santa Clara,2019,1927470.0,124055.0,1290.69,1493.3640145968434
Santa Clara,2020,1924379.0,130890.0,1290.69,1490.9691715284073
Santa Clara,2021,1932022.0,140258.0,1290.69,1496.890810341755
Santa Clara,2022,1916831.0,153792.0,1290.69,1485.1211367563085
Santa Clara,2023,1915489.0,163196.0,1290.69,1484.08138282624
Santa Cruz,2018,273765.0,78041.0,445.24,614.8706315694906
Santa Cruz,2019,273962.0,82234.0,445.24,615.3130895696703
Santa Cruz,2020,273170.0,89986.0,445.24,613.5342736501661
Santa Cruz,2021,272138.0,96093.0,445.24,611.2164226035396
Santa Cruz,2022,268571.0,104409.0,445.24,603.2050130266822
Santa Cruz,2023,267273.0,111001.0,445.24,600.2897313808284
Shasta,2018,179085.0,50905.0,3785.19,47.3120239670928
Shasta,2019,179212.0,54667.0,3785.19,47.34557578351417
Shasta,2020,179267.0,57139.0,3785.19,47.360106097712396
Shasta,2021,181935.0,61937.0,3785.19,48.06495843009201
Shasta,2022,181852.0,68347.0,3785.19,48.04303086502923
Shasta,2023,182544.0,72707.0,3785.19,48.22584863639606
Sierra,2018,2930.0,48125.0,953.38,3.0732761333361305
Sierra,2019,3040.0,52148.0,953.38,3.1886551007992616
Sierra,2020,2898.0,52103.0,953.38,3.0397113428014015
Sierra,2021,3079.0,56152.0,953.38,3.2295621892634627
Sierra,2022,2916.0,61108.0,953.38,3.0585915374771866
Sierra,2023,2912.0,64354.0,953.38,3.0543959386603454
Siskiyou,2018,43540.0,44200.0,6288.78,6.923441430611343
Siskiyou,2019,43468.0,45241.0,6288.78,6.911992469127558
Siskiyou,2020,43516.0,47403.0,6288.78,6.919625110116748
Siskiyou,2021,44151.0,49857.0,6288.78,7.020598589869578
Siskiyou,2022,44049.0,53898.0,6288.78,7.004379227767548
Siskiyou,2023,44176.0,56322.0,6288.78,7.024573923718114
Solano,2018,438530.0,77609.0,829.19,528.8655193622692
Solano,2019,441829.0,81472.0,829.19,532.8441008695232
Solano,2020,444538.0,84638.0,829.19,536.1111446110059
Solano,2021,451432.0,89648.0,829.19,544.4252825046129
Solano,2022,450995.0,97037.0,829.19,543.8982621594567
Solano,2023,454111.0,101894.0,829.19,547.6561463597004
Sonoma,2018,501317.0,76753.0,1575.88,318.11876538822753
Sonoma,2019,499772.0,81018.0,1575.88,317.13836078889256
Sonoma,2020,496801.0,86173.0,1575.88,315.2530649541843
Sonoma,2021,492498.0,91607.0,1575.88,312.5225270959717
Sonoma,2022,488436.0,99266.0,1575.88,309.9449196639338
Sonoma,2023,485216.0,104894.0,1575.88,307.90161687438126
Stanislaus,2018,539301.0,57387.0,1493.79,361.02865864679774
Stanislaus,2019,543194.0,60704.0,1493.79,363.6347813280314
Stanislaus,2020,546235.0,62873.0,1493.79,365.6705427135006
Stanislaus,2021,550842.0,68368.0,1493.79,368.7546442271002
Stanislaus,2022,552063.0,74872.0,1493.79,369.5720281967345
Stanislaus,2023,555253.0,79243.0,1493.79,371.7075358651484
Sutter,2018,95872.0,56955.0,602.54,159.11308792777243
Sutter,2019,96109.0,59050.0,602.54,159.5064228101039
Sutter,2020,96315.0,63502.0,602.54,159.84830882597007
Sutter,2021,99080.0,67003.0,602.54,164.4372157865038
Sutter,2022,99101.0,72654.0,602.54,164.4720682444319
Sutter,2023,99908.0,76579.0,602.54,165.81139841338336
Tehama,2018,63373.0,42899.0,2950.99,21.475165961253683
Tehama,2019,63912.0,44514.0,2950.99,21.657816529368112
Tehama,2020,64176.0,48895.0,2950.99,21.747278032118036
Tehama,2021,65345.0,52901.0,2950.99,22.143416277249333
Tehama,2022,65484.0,59029.0,2950.99,22.19051911392448
Tehama,2023,66012.0,63061.0,2950.99,22.36944211942433
Trinity,2018,12862.0,38497.0,3178.61,4.046422807453572
Trinity,2019,12700.0,40846.0,3178.61,3.995457133778601
Trinity,2020,12541.0,41780.0,3178.61,3.945435268875389
Trinity,2021,15818.0,42206.0,3178.61,4.976389050559836
Trinity,2022,15889.0,47317.0,3178.61,4.998725858158125
Trinity,2023,16646.0,49522.0,3178.61,5.236880271565243
Tulare,2018,460477.0,47518.0,4823.97,95.45602480944117
Tulare,2019,461898.0,49687.0,4823.97,95.75059546390213
Tulare,2020,463955.0,52534.0,4823.97,96.17700773429354
Tulare,2021,470999.0,57394.0,4823.97,97.63721582016471
Tulare,2022,473446.0,64474.0,4823.97,98.14447436447573
Tulare,2023,476688.0,68713.0,4823.97,98.8165349286998
Tuolumne,2018,53932.0,56493.0,2355.41,22.897075243800444
Tuolumne,2019,54045.0,60108.0,2355.41,22.945049906385727
Tuolumne,2020,54147.0,60509.0,2355.41,22.988354469073325
Tuolumne,2021,55243.0,66846.0,2355.41,23.45366624069695
Tuolumne,2022,54993.0,70432.0,2355.41,23.347527606658716
Tuolumne,2023,55258.0,73917.0,2355.41,23.460034558739245
Ventura,2018,848112.0,84017.0,1845.3,459.60656803771747
Ventura,2019,847263.0,88131.0,1845.3,459.1464802471143
Ventura,2020,845599.0,89295.0,1845.3,458.24472985422426
Ventura,2021,845255.0,94150.0,1845.3,458.05831030184794
Ventura,2022,842009.0,102141.0,1845.3,456.29924673494827
Ventura,2023,840483.0,106672.0,1845.3,455.4722809299301
Yolo,2018,214977.0,65923.0,1013.27,212.16161536411815
Yolo,2019,217352.0,70228.0,1013.27,214.505511857649
Yolo,2020,218774.0,73746.0,1013.27,215.90888904240725
Yolo,2021,216703.0,78386.0,1013.27,213.86501130004837
Yolo,2022,217141.0,85097.0,1013.27,214.2972751586448
Yolo,2023,217682.0,89891.0,1013.27,214.83119010727646
Yuba,2018,75493.0,52624.0,630.69,119.69905975994544
Yuba,2019,76360.0,58054.0,630.69,121.0737446288985
Yuba,2020,77524.0,59424.0,630.69,122.91934230763131
Yuba,2021,80404.0,62666.0,630.69,127.48576955398055
Yuba,2022,81705.0,66693.0,630.69,129.54858963991816
Yuba,2023,83258.0,70210.0,630.69,132.01097210991136
